Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Fall 2022,Open,NEUR*4402*01 (8797) Research in Neurosciences,Guelph, , , , , , ,TBA,TBA,TBA,FALSE,FALSE,FALSE, , , ,C. Bailey, 13 / 15,0.5,Undergraduate
Fall 2022,Open,NEUR*4450*01 (8798) Research in Neurosciences,Guelph, , , , , , ,TBA,TBA,TBA,FALSE,FALSE,FALSE, , , ,C. Bailey, 10 / 15,1,Undergraduate
Fall 2022,Closed,NUTR*1010*DE01 (8800) Introduction to Nutrition,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,J. Jory, 0 / 430,0.5,Undergraduate
Fall 2022,Open,NUTR*2050*01 (8801) Nutrition Thru the Life Cycle,Guelph," Tues, Thur",10:00AM - 11:20AM,"RICH, Room 2520", , , , , , ,FALSE,FALSE,FALSE, Fri,02:30PM - 04:30PM (2022/12/16),TBA,J. Daher, 10 / 200,0.5,Undergraduate
Fall 2022,Open,NUTR*2150*01 (8802) Intro Nutritional & Food Sci,Guelph," Tues, Thur",01:00PM - 02:20PM,"THRN, Room 1200", , , , , , ,FALSE,FALSE,FALSE, Fri,08:30AM - 10:30AM (2022/12/16),TBA,M. Rogers, 11 / 80,0.5,Undergraduate
Fall 2022,Open,NUTR*3210*01 (8803) Fundamentals of Nutrition,Guelph," Tues, Thur",11:30AM - 12:50PM,"AD-S, Room VIRTUAL", , , , , , ,FALSE,FALSE,FALSE, Wed,08:30AM - 10:30AM (2022/12/14),TBA,C. Cho, 66 / 300,0.5,Undergraduate
Fall 2022,Open,"NUTR*3330*01 (8804) Micronut., Phytochem., Health",Guelph," Tues, Thur",01:00PM - 02:20PM,"MACN, Room 105", , , , , , ,FALSE,FALSE,FALSE, Wed,02:30PM - 04:30PM (2022/12/14),TBA,A. Duncan, 113 / 240,0.5,Undergraduate
Fall 2022,Open,NUTR*3360*01 (8805) Lifestyle Genomics,Guelph," Mon, Wed, Fri",12:30PM - 01:20PM,"ROZH, Room 103", , , , , , ,FALSE,FALSE,FALSE, Fri,08:30AM - 10:30AM (2022/12/09),TBA,D. Mutch, 26 / 180,0.5,Undergraduate
Fall 2022,Open,NUTR*3390*0101 (8806) Applied Nutr & Neutra Sci I,Guelph," Mon, Wed, Fri",09:30AM - 10:20AM,"MAC, Room 149", , , , Tues,02:30PM - 05:20PM,"GFTC, Room 146",FALSE,FALSE,FALSE, , , ,W. Bettger, 5 / 20,0.75,Undergraduate
Fall 2022,Open,NUTR*3390*0102 (8807) Applied Nutr & Neutra Sci I,Guelph," Mon, Wed, Fri",09:30AM - 10:20AM,"MAC, Room 149", , , , Wed,01:30PM - 04:20PM,"GFTC, Room 146",FALSE,FALSE,FALSE, , , ,W. Bettger, 6 / 20,0.75,Undergraduate
Fall 2022,Open,NUTR*3500*01 (8808) Research Internship in AHN,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,D. El Khoury, 8 / 8,0.5,Undergraduate
Fall 2022,Open,NUTR*3500*02 (8809) Research Internship in AHN,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 8 / 8,0.5,Undergraduate
Fall 2022,Open,NUTR*3500*03 (8810) Research Internship in AHN,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 8 / 8,0.5,Undergraduate
Fall 2022,Open,NUTR*3500*04 (8811) Research Internship in AHN,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 8 / 8,0.5,Undergraduate
Fall 2022,Open,NUTR*3500*05 (8812) Research Internship in AHN,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 8 / 8,0.5,Undergraduate
Fall 2022,Open,NUTR*4010*01 (8813) Nutritional Assessment,Guelph," Tues, Thur",10:00AM - 11:20AM,"THRN, Room 1307", , , , , , ,FALSE,FALSE,FALSE, Wed,08:30AM - 10:30AM (2022/12/14),TBA,D. El Khoury, 33 / 100,0.5,Undergraduate
Fall 2022,Open,NUTR*4040*01 (8814) Clinical Nutrition II,Guelph," Tues, Thur",01:00PM - 02:20PM,"MCKN, Room 120", , , , , , ,FALSE,FALSE,FALSE, Mon,08:30AM - 10:30AM (2022/12/12),TBA,L. Forbes, 42 / 100,0.5,Undergraduate
Fall 2022,Open,NUTR*4070*01 (8815) Nutrition Education,Guelph," Tues, Thur",04:00PM - 05:20PM,"MINS, Room 300", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 16 / 95,0.5,Undergraduate
Fall 2022,Open,"NUTR*4210*01 (8816) Nutrition, Exercise & Metab",Guelph," Mon, Wed, Fri",02:30PM - 03:20PM,"ALEX, Room 200", , , , , , ,FALSE,FALSE,FALSE, Sat,11:30AM - 01:30PM (2022/12/10),TBA,G. Desormeaux, 76 / 290,0.5,Undergraduate
Fall 2022,Open,"NUTR*4510*01 (8817) Toxicology, Nutrition & Food",Guelph," Tues, Thur",11:30AM - 12:50PM,"RICH, Room 2520", , , , , , ,FALSE,FALSE,FALSE, Thur,02:30PM - 04:30PM (2022/12/08),TBA,A. Ionescu, 15 / 190,0.5,Undergraduate
Fall 2022,Closed,NUTR*4810*01 (8818) Thesis I,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,P. Brauer, 0 / 1,0.5,Undergraduate
Fall 2022,Closed,NUTR*4810*02 (8819) Thesis I,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,L. Forbes, 0 / 1,0.5,Undergraduate
Fall 2022,Closed,NUTR*4810*03 (8820) Thesis I,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,A. Buchholz, 0 / 1,0.5,Undergraduate
Fall 2022,Closed,NUTR*4810*04 (8821) Thesis I,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,D. El Khoury, 0 / 1,0.5,Undergraduate
Fall 2022,Closed,NUTR*4810*05 (8822) Thesis I,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,J. Haines, 0 / 1,0.5,Undergraduate
Fall 2022,Closed,NUTR*4910*01 (8823) Thesis II,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,J. Haines, 0 / 1,1,Undergraduate
Fall 2022,Open,NUTR*4910*02 (8824) Thesis II,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 1 / 1,1,Undergraduate
Fall 2022,Open,NUTR*4910*03 (8825) Thesis II,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 1 / 1,1,Undergraduate
Fall 2022,Open,NUTR*4910*04 (8826) Thesis II,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 1 / 1,1,Undergraduate
Fall 2022,Open,NUTR*4910*05 (8827) Thesis II,Guelph,TBA,TBA,TBA, , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 1 / 1,1,Undergraduate
Fall 2022,Open,OAGR*4050*0101 (8828) Design Organic Prod. Systems,Guelph, Mon,02:30PM - 04:20PM,"MINS, Room 128", , , , Wed,11:30AM - 02:20PM,"MCKN, Room 318",FALSE,FALSE,FALSE, , , ,R. Knight, 22 / 25,1,Undergraduate
Fall 2022,Open,ONEH*1000*01 (8829) Introduction to One Health,Guelph," Tues, Thur",11:30AM - 12:50PM,"MINS, Room 103", , , , , , ,FALSE,FALSE,FALSE, Sat,08:30AM - 10:30AM (2022/12/10),TBA,S. Martone, 1 / 58,0.5,Undergraduate
Fall 2022,Open,PATH*3610*DE01 (8843) Principles of Disease,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, Tues,11:30AM - 01:30PM (2022/12/06),TBA,"B. Lillie, K. Bland", 20 / 250,0.5,Undergraduate
Fall 2022,Closed,PATH*4100*0101 (8844) Diseases of Aquatic Animals,Guelph," Tues, Thur",08:30AM - 09:20AM,"ANNU, Room 306", , , , Mon,02:30PM - 04:20PM,"PAHL, Room 1813",FALSE,FALSE,FALSE, , , ,J. Lumsden, 0 / 0,0.5,Undergraduate
Fall 2022,Closed,PBIO*3750*0101 (8845) Plant Tissue Culture,Guelph," Mon, Wed",12:30PM - 01:20PM,"MCKN, Room 308", , , , Wed,02:30PM - 05:20PM,"CRSC, Room 119",FALSE,FALSE,FALSE, Wed,08:30AM - 10:30AM (2022/12/07),TBA,J. Subramanian, 0 / 13,0.5,Undergraduate
Fall 2022,Open,PBIO*3750*0102 (8846) Plant Tissue Culture,Guelph," Mon, Wed",12:30PM - 01:20PM,"MCKN, Room 308", , , , Fri,02:30PM - 05:20PM,"CRSC, Room 119",FALSE,FALSE,FALSE, Wed,08:30AM - 10:30AM (2022/12/07),TBA,J. Subramanian, 3 / 12,0.5,Undergraduate
Fall 2022,Closed,PHIL*1000*0101 (8847) Classic Thinkers,Guelph," Mon, Wed",11:30AM - 12:20PM,"RICH, Room 2520", Wed,02:30PM - 03:20PM,"ANNU, Room 306", , , ,FALSE,FALSE,FALSE, Mon,11:30AM - 01:30PM (2022/12/12),TBA,J. Russon, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1000*0102 (8848) Classic Thinkers,Guelph," Mon, Wed",11:30AM - 12:20PM,"RICH, Room 2520", Wed,03:30PM - 04:20PM,"MCKN, Room 307", , , ,FALSE,FALSE,FALSE, Mon,11:30AM - 01:30PM (2022/12/12),TBA,J. Russon, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1000*0103 (8849) Classic Thinkers,Guelph," Mon, Wed",11:30AM - 12:20PM,"RICH, Room 2520", Thur,03:30PM - 04:20PM,"MCKN, Room 311", , , ,FALSE,FALSE,FALSE, Mon,11:30AM - 01:30PM (2022/12/12),TBA,J. Russon, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1000*0104 (8850) Classic Thinkers,Guelph," Mon, Wed",11:30AM - 12:20PM,"RICH, Room 2520", Thur,04:30PM - 05:20PM,"MCKN, Room 315", , , ,FALSE,FALSE,FALSE, Mon,11:30AM - 01:30PM (2022/12/12),TBA,J. Russon, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1000*0105 (8851) Classic Thinkers,Guelph," Mon, Wed",11:30AM - 12:20PM,"RICH, Room 2520", Fri,01:30PM - 02:20PM,"MCKN, Room 304", , , ,FALSE,FALSE,FALSE, Mon,11:30AM - 01:30PM (2022/12/12),TBA,J. Russon, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1000*0106 (8852) Classic Thinkers,Guelph," Mon, Wed",11:30AM - 12:20PM,"RICH, Room 2520", Fri,02:30PM - 03:20PM,"ROZH, Room 109", , , ,FALSE,FALSE,FALSE, Mon,11:30AM - 01:30PM (2022/12/12),TBA,J. Russon, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0101 (8853) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Fri,03:30PM - 04:20PM,"MCKN, Room 311", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0102 (8854) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,12:30PM - 01:20PM,"ANNU, Room 306", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
Fall 2022,Closed,PHIL*1010*0103 (8855) Social and Political Issues,Guelph," Mon, Wed",02:30PM - 03:20PM,"ROZH, Room 101", Thur,08:30AM - 09:20AM,"ROZH, Room 109", , , ,FALSE,FALSE,FALSE, Tues,07:00PM - 09:00PM (2022/12/06),TBA,M. McCullagh, 0 / 25,0.5,Undergraduate
