Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Winter 2023,Open,ENGL*2080*0104 (2245) Finding a Critical Voice,Guelph,"Mon, Wed",11:30AM - 12:20PM,"MACS, Room 209",Fri,11:30AM - 12:20PM,"MINS, Room 128", , , ,FALSE,FALSE,FALSE, , , ,TBA, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2120*01 (2246) Seminar: Critical Practices,Guelph,"Mon, Wed",10:00AM - 11:20AM,"MINS, Room 101", , , , , , ,FALSE,FALSE,FALSE, , , ,G. Campbell, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2120*02 (2247) Seminar: Critical Practices,Guelph,"Tues, Thur",10:00AM - 11:20AM,"MACS, Room 301", , , , , , ,FALSE,FALSE,FALSE, , , ,J. Cairnie, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2130*01 (2248) Literature and Social Change,Guelph,"Mon, Wed",01:00PM - 02:20PM,"MACN, Room 202", , , , , , ,FALSE,FALSE,FALSE, , , ,G. Campbell, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2130*02 (2249) Literature and Social Change,Guelph,"Mon, Wed",11:30AM - 12:50PM,"MACS, Room 301", , , , , , ,FALSE,FALSE,FALSE, , , ,P. Salmon, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*2550*01 (2250) Native Literatures,Guelph,"Tues, Thur",11:30AM - 12:50PM,"MCKN, Room 031", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 90 / 90,0.5,Undergraduate
Winter 2023,Open,ENGL*2740*DE01 (2251) Children's Literature,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,J. Schacker, 160 / 160,0.5,Undergraduate
Winter 2023,Open,ENGL*2880*01 (2252) Women in Literature,Guelph,"Tues, Thur",01:00PM - 02:20PM,"MCKN, Room 116", , , , , , ,FALSE,FALSE,FALSE, , , ,J. Cairnie, 75 / 75,0.5,Undergraduate
Winter 2023,Open,ENGL*3070*01 (2253) Intermediate Screenwriting,Guelph,Thur,11:30AM - 02:20PM,"MCKN, Room 119", , , , , , ,FALSE,FALSE,FALSE, , , ,E. Chang, 20 / 20,0.5,Undergraduate
Winter 2023,Open,ENGL*3240*01 (2254) Early Modern Literature,Guelph,"Tues, Thur",11:30AM - 12:50PM,"MACS, Room 209", , , , , , ,FALSE,FALSE,FALSE, , , ,M. Fortier, 100 / 100,0.5,Undergraduate
Winter 2023,Open,ENGL*3550*01 (2255) Modern U.S. Literatures,Guelph,"Mon, Wed",04:00PM - 05:20PM,"MCKN, Room 116", , , , , , ,FALSE,FALSE,FALSE, , , ,G. Campbell, 75 / 75,0.5,Undergraduate
Winter 2023,Open,ENGL*3630*01 (2256) Forging the Canadian Nation,Guelph,"Tues, Thur",01:00PM - 02:20PM,"MCKN, Room 115", , , , , , ,FALSE,FALSE,FALSE, , , ,TBA, 75 / 75,0.5,Undergraduate
Winter 2023,Open,ENGL*3940*01 (2257) Genre in Cultural Context,Guelph,"Tues, Thur",02:30PM - 03:50PM,"MACS, Room 301", , , , , , ,FALSE,FALSE,FALSE, , , ,S. Singer, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*3960*01 (2258) Literature in History,Guelph,"Tues, Thur",04:00PM - 05:20PM,"MINS, Room 101", , , , , , ,FALSE,FALSE,FALSE, , , ,P. Ramirez, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENGL*4090*01 (2259) Spec Topic Digital Lit Studies,Guelph,Wed,02:30PM - 05:20PM,"CRSC, Room 101", , , , , , ,FALSE,FALSE,FALSE, , , ,P. Barrett, 20 / 20,1,Undergraduate
